Author,Citation Count
Colin Cherry,2
Shachi Dave,2
M. Krikun,2
Sneha Kudugunta,2
Parker Riley,2
Pidong Wang,2
Yonghui Wu,2
Hyung Won Chung,2
Sharan Narang,2
Quentin G. Anthony,2
Eric Hallahan,2
Shivanshu Purohit,2
USVSN Sai Prashanth,2
Abubakar Abid,2
Josh Meyer,2
Pete Allen,2
Merve Noyan,2
Ruochen Zhang,2
I. Yu,2
Suzana Ilic,2
Aleksandra Piktus,2
Xinyu Crystina Zhang,2
Katerina Margatina,2
Zheng-Xin Yong,2
M Saiful Bari,2
Vassilina Nikoulina,2
Harshita Diddee,2
Sebastin Santy,2
Trina Chatterjee,2
Junjie Hu,2
Suzana Ili'c,2
J. Tow,2
Alexander M. Rush,2
Rachel Bawden,2
Stas Bekman,2
Victor Sanh,2
Canwen Xu,2
Hady ElSahar,2
Kimbo Chen,2
Nurulaqilla Khamis,2
Peter Henderson,2
Priscilla Amuok,2
Shanya Sharma,2
V. Danchev,2
Gunjan Chhablani,2
Leo Gao,2
Jaesung Tae,2
Jason Phang,2
N. Patry,2
Suraj Patil,2
Arjun Subramonian,2
D. Tunuguntla,2
Miruna Clinciu,2
Tatiana Shavrina,2
V. Mikhailov,2
Ruisi Su,2
Shubhanshu Mishra,2
Sahan Jayasinghe,2
Lakith Rambukkanage,2
Ashan Silva,2
A. Perera,2
Daniel Whitenack,2
Francois Meyer,2
Jan Buys,2
Everlyn Asiko,2
Ankur Bapna,2
Rifki Afina Putri,2
Linting Xue,2
André F. T. Martins,2
Roy Schwartz,2
Jordi Armengol-Estap'e,2
Derek Chong,2
Jenny Hong,2
Christopher D. Manning,2
Aditya Barua,2
Albert Gatt,2
Lonneke van der Plas,2
Claudia Borg,2
D. Esch,2
Aditya Siddhant,2
Vera Axelrod,2
Freshia Sackey,2
Guyo Dub Jarso,2
Eric Peter Wairagala,2
Muhammad Umair Nasir,2
Yvonne Wambui Gitau,2
Jade Z. Abbott,2
Mohamed Ahmed,2
Sam Manthalu,2
Bertie Vidgen,2
Elisa Bassignana,2
Max Müller-Eberstein,2
Daniel Varab,2
Mike Zhang,2
Christian Hardmeier,2
Kemal Kurniawan,2
Radityo Eko Prasojo,2
Jey Han Lau,2
Antoine Nzeyimana,2
Eleftheria Briakou,2
Jonne Saleva,2
Maite Melero,2
Julien Abadji,2
